oven,2,Serbia,14
toe fungus cream,4,Rwanda,12
Harness,12,Chad,16
DOOM Eternal,9,Guinea-Bissau,9
Grand Theft Auto V,10,Ecuador,9
blue fuzzy blanket,6,Taiwan,6
Golf Tees,9,Malawi,32
Concealer,10,Togo,14
Apex Legends,3,Saint Helena,7
Map and Compass,4,Central African Republic,12
refrigerator,7,France,7
strawberry seeds,10,Holy See (Vatican City State),11
Apex Legends,1,Burundi,4
Paper,1,Moldova,7
Map and Compass,3,Tonga,19
macOS Ventura,12,Lesotho,5
Pet Carrier,8,Saint Martin,16
Omega Seamaster,2,Martinique,20
motrin,3,United Kingdom,1
intense poetry,4,Palau,19
The Hobbit,2,Russian Federation,3
Jaeger-LeCoultre Reverso,9,Saint Lucia,20
Pet Food,1,Cote d'Ivoire,17
toaster,6,France,8
Baseball Glove,1,French Guiana,13
Staples,5,Wallis and Futuna,20
The Lord of the Rings: The Fellowship of the Ring,4,Micronesia,16
Baseball Bat,12,Bouvet Island (Bouvetoya),13
drums,10,Cameroon,7
Rangefinder,7,Western Sahara,15
Hair Conditioner,4,Saint Helena,17
Golf Tees,12,Ukraine,18
Patek Philippe Nautilus,10,Costa Rica,3
Whiteboard,10,Armenia,19
Shrek,5,Paraguay,10
Flashlight,9,Netherlands,3
Sunscreen,10,Argentina,5
The Lord of the Rings: The Fellowship of the Ring,12,Qatar,20
Patek Philippe Nautilus,2,Japan,17
Ubuntu,4,Lithuania,7
Rolex Submariner,5,Rwanda,2
refrigerator,12,Sao Tome and Principe,8
Sunscreen,1,Bahamas,1
feminine products,4,Holy See (Vatican City State),31
Moisturizer,12,Namibia,10
Avengers: Endgame,6,Palestinian Territory,9
Spider-Man (PS4),9,Uganda,11
Pride and Prejudice,7,Guatemala,14
Exfoliator,1,Chile,3
Windows 11,9,Marshall Islands,8
Concealer,4,Korea,1
Portable Water Filter,5,United States of America,19
Paper Clips,9,Comoros,11
red plush throw pillow,11,Saint Pierre and Miquelon,9
motrin,10,Cocos (Keeling) Islands,5
big ben,1,Gabon,2
Binders,5,Belize,1
oven,1,Montenegro,10
piano,7,Saint Pierre and Miquelon,19
Sleeping Bag,10,Ukraine,17
Grand Theft Auto V,5,United Arab Emirates,5
Portable Charger,12,Ukraine,11
clean slate,12,Romania,20
scenic painting,5,Falkland Islands (Malvinas),12
Sunscreen,3,Congo,17
dishwasher,1,Myanmar,16
Moby-Dick,10,Jersey,4
Baseball Bat,11,Saint Pierre and Miquelon,1
Binoculars,3,Holy See (Vatican City State),17
Pet Cleaning Wipes,1,Bosnia and Herzegovina,12
Fishing Rod,12,Japan,17
Omega Seamaster,1,Moldova,10
planter pots,6,Sierra Leone,16
Rangefinder,5,Algeria,18
Mad Max: Fury Road,8,Saint Kitts and Nevis,17
Toys,11,Qatar,12
Sleeping Bag,11,Wallis and Futuna,3
Golf Glove,12,Myanmar,20
sad poetry,11,Slovakia (Slovak Republic),5
Camping Tent,7,Ecuador,17
Android,12,Jordan,9
guitar,2,Albania,3
shovel,6,Ecuador,19
intense poetry,8,Saint Pierre and Miquelon,19
Golf Bag,1,Moldova,9
demons,3,Bulgaria,13
white fuzzy blanket,6,Finland,11
toaster,3,Colombia,20
flute,3,Guinea,19
Pet Shampoo,1,Austria,5
magnesium,9,Israel,7
Flashlight,3,Iraq,14
soil,12,Iceland,19
romantic poetry,6,Slovakia (Slovak Republic),4
Avatar,8,Finland,6
1984,12,Uzbekistan,4
Stapler,6,Netherlands Antilles,6
magnesium,10,Gabon,8
Tennis Racket,1,Belize,5
Pet Cleaning Wipes,6,Anguilla,8
shovel,5,Christmas Island,1
motrin,11,Saudi Arabia,8
flute,3,Qatar,16
Audemars Piguet Royal Oak,2,Lesotho,3
white plush throw pillow,6,Morocco,3
Volleyball,2,Jordan,3
Grooming Brush,1,Guadeloupe,1
Shampoo,7,Spain,12
First Aid Kit,3,Singapore,9
Avengers: Endgame,10,Russian Federation,8
refrigerator,2,British Indian Ocean Territory (Chagos Archipelago),4
Baseball Glove,7,Serbia,12
Patek Philippe Nautilus,2,Greece,15
piano,7,Argentina,16
cello,1,Cambodia,6
Audemars Piguet Royal Oak,1,Cambodia,11
Cartier Tank,12,Micronesia,13
Breitling Navitimer,4,Latvia,3
Windows 11,5,Uzbekistan,6
animal painting,3,French Polynesia,8
Ubuntu,11,New Caledonia,11
 mermaid sculpture,9,Philippines,4
Baseball Bat,8,Mongolia,3
Body Lotion,4,Norfolk Island,9
fish oil,6,Uzbekistan,15
Jaeger-LeCoultre Reverso,11,Fiji,20
Camping Chairs,12,Morocco,14
soil,12,Christmas Island,19
oven,5,Azerbaijan,10
Adobe Photoshop,1,Argentina,14
Tissot Le Locle,9,Guernsey,5
Nail Polish,12,Yemen,3
Baseball Glove,5,Saint Pierre and Miquelon,19
Binders,3,United States of America,9
The Great Gatsby,4,Denmark,13
Map and Compass,9,Argentina,2
tomato seeds,2,Guatemala,1
Eraser,12,Denmark,12
modern sculpture,9,Faroe Islands,12
Pet Backpack,6,Somalia,10
Call of Duty: Modern Warfare II,4,Germany,3
motrin,4,Philippines,10
Volleyball,11,Togo,5
Pet Shampoo,4,Cook Islands,12
refrigerator,5,Cape Verde,8
Rolex Submariner,6,Armenia,1
big ben,1,Congo,9
piano,10,Somalia,15
The Catcher in the Rye,8,Iran,4
cello,6,Andorra,13
Cartier Tank,8,Chad,4
Golf Bag,5,Tokelau,5
Patek Philippe Nautilus,10,South Georgia and the South Sandwich Islands,20
motrin,11,South Africa,8
Windows 11,11,Mali,18
fish oil,10,Finland,10
Tennis Racket,3,Jordan,12
modern sculpture,9,Marshall Islands,16
Camping Tent,7,Uruguay,8
tomato seeds,2,Guam,17
Avatar,8,Cambodia,17
white fuzzy blanket,12,Gabon,18
Volleyball,6,Antarctica (the territory South of 60 deg S),11
toe fungus cream,2,Suriname,37
guitar,2,El Salvador,2
Water Bowl,6,Jamaica,11
Basketball,12,Christmas Island,2
magnesium,2,Puerto Rico,18
macOS Ventura,6,Spain,19
The Lord of the Rings: The Fellowship of the Ring,9,Thailand,2
dishwasher,5,Korea,6
Highlighters,9,Congo,4
guitar,5,Indonesia,17
cello,4,Eritrea,1
Markers,3,Holy See (Vatican City State),4
Golf Tees,9,Macao,15
Pet Gates,7,Russian Federation,7
guitar,9,Libyan Arab Jamahiriya,11
into the ocean,1,Slovenia,17
The other woman,5,Bolivia,6
feminine products,7,Niue,17
Backpack,9,Jersey,12
The Matrix,11,Senegal,3
Shrek,7,Korea,13
Patek Philippe Nautilus,6,Haiti,14
Avengers: Endgame,5,New Zealand,3
Rangefinder,10,Singapore,19
Baseball Glove,1,Albania,4
red fuzzy blanket,11,Finland,15
magnesium,5,Bhutan,15
Pet Bed,6,Botswana,5
refrigerator,2,Northern Mariana Islands,17
Cartier Tank,5,Cyprus,3
Binoculars,4,Martinique,1
Training Pads,1,Switzerland,13
cello,7,Philippines,4
Apex Legends,7,United States Minor Outlying Islands,7
Volleyball,3,Haiti,10
Toner,3,Jersey,17
fish oil,3,Reunion,2
iOS,8,Myanmar,6
Pet Food,5,Mauritania,10
Red Dead Redemption 2,12,Ireland,5
Crime and Punishment,5,British Virgin Islands,8
The Hobbit,8,Taiwan,20
Exfoliator,4,Finland,15
Android,1,Mongolia,20
Whiteboard,12,Antigua and Barbuda,14
Map and Compass,10,Cayman Islands,16
refrigerator,10,Afghanistan,3
War and Peace,5,Guyana,1
Longines Master Collection,3,New Zealand,6
Basketball,1,Andorra,9
into the ocean,8,Saint Lucia,3
fish oil,7,Kuwait,19
Baseball Bat,9,Estonia,10
flute,6,Paraguay,5
Pet Carrier,7,Saint Lucia,4
refrigerator,5,Lesotho,20
Crime and Punishment,11,United States Virgin Islands,3
Golf Clubs,1,Mozambique,2
microwave,12,Latvia,8
Water Bottle,5,Kazakhstan,17
modern sculpture,3,Jersey,18
Call of Duty: Modern Warfare II,11,Iceland,13
Camping Chairs,3,Chile,11
Cartier Tank,5,Cambodia,13
Save Willy,1,Guatemala,10
Breitling Navitimer,6,Finland,2
Windows 11,4,Libyan Arab Jamahiriya,4
refrigerator,7,Iraq,6
The Hobbit,11,Russian Federation,13
Basketball,11,Peru,32
Golf Clubs,6,Equatorial Guinea,11
Tennis Racket,5,United States of America,15
sad poetry,9,Togo,3
Call of Duty: Modern Warfare II,1,Dominican Republic,6
Golf Glove,3,Afghanistan,12
Rolex Submariner,7,Fiji,13
War and Peace,6,Uganda,18
Map and Compass,3,Saint Martin,16
modern sculpture,1,Spain,3
Grand Theft Auto V,11,Netherlands Antilles,11
into the ocean,2,Canada,5
Baseball Glove,4,Switzerland,8
piano,4,Ukraine,7
Baseball Glove,4,Luxembourg,15
Avengers: Endgame,12,Jamaica,13
Golf Glove,2,Faroe Islands,19
Adobe Photoshop,8,Monaco,19
Cleanser,11,Namibia,1
Food Bowl,7,Martinique,6
drums,11,Bahrain,5
Paper,6,Malaysia,5
Shrek,10,Wallis and Futuna,13
Toys,5,Djibouti,4
Flashlight,8,Benin,10
Tennis Racket,7,Armenia,5
Pet Crate,3,Malawi,5
toe fungus cream,2,Iraq,13
big ben,8,Germany,6
clean slate,2,Haiti,20
clean slate,6,Antigua and Barbuda,10
To Kill a Mockingbird,12,Mexico,7
guitar,3,India,7
feminine products,8,Guinea-Bissau,19
Avengers: Endgame,7,Mayotte,1
romantic poetry,3,French Guiana,2
Folders,10,Burkina Faso,16
modern sculpture,12,Croatia,17
microwave,12,Christmas Island,16
Patek Philippe Nautilus,12,Chad,16
Toner,3,Lebanon,5
The Hobbit,3,Guyana,11
Golf Glove,4,Chile,14
feminine products,11,New Caledonia,9
Binoculars,12,Bahamas,17
scenic painting,1,Nigeria,8
The Legend of Zelda: Breath of the Wild,4,Benin,4
cello,10,Bahamas,4
Cooler,10,Indonesia,14
Paper,1,Mali,17
Baseball Glove,5,Rwanda,11
soil,6,Guyana,20
