Serbia,342
Rwanda,353
Chad,510
Guinea-Bissau,357
Ecuador,479
Taiwan,383
Malawi,383
Togo,566
Saint Helena,363
Central African Republic,598
France,468
Holy See (Vatican City State),440
Burundi,297
Moldova,389
Tonga,381
Lesotho,348
Saint Martin,393
Martinique,270
United Kingdom,408
Palau,345
Russian Federation,339
Saint Lucia,501
Cote d'Ivoire,399
French Guiana,343
Wallis and Futuna,436
Micronesia,401
Bouvet Island (Bouvetoya),444
Cameroon,315
Western Sahara,409
Ukraine,518
Costa Rica,353
Armenia,326
Paraguay,443
Netherlands,458
Argentina,392
Qatar,524
Japan,477
Lithuania,436
Sao Tome and Principe,379
Bahamas,340
Namibia,427
Palestinian Territory,461
Uganda,533
Guatemala,355
Chile,388
Marshall Islands,450
Korea,909
United States of America,461
Comoros,472
Saint Pierre and Miquelon,578
Cocos (Keeling) Islands,352
Gabon,496
Belize,423
Montenegro,499
United Arab Emirates,389
Romania,431
Falkland Islands (Malvinas),308
Congo,894
Myanmar,312
Jersey,371
Bosnia and Herzegovina,469
Sierra Leone,462
Algeria,353
Saint Kitts and Nevis,405
Slovakia (Slovak Republic),414
Jordan,299
Albania,487
Bulgaria,456
Finland,441
Colombia,439
Guinea,458
Austria,388
Israel,567
Iraq,381
Iceland,528
Uzbekistan,441
Netherlands Antilles,387
Anguilla,284
Christmas Island,323
Saudi Arabia,472
Morocco,511
Guadeloupe,404
Spain,404
Singapore,426
British Indian Ocean Territory (Chagos Archipelago),333
Greece,345
Cambodia,418
Latvia,599
French Polynesia,414
New Caledonia,378
Philippines,438
Mongolia,518
Norfolk Island,335
Fiji,511
Azerbaijan,536
Guernsey,373
Yemen,368
Denmark,369
Faroe Islands,510
Somalia,430
Germany,373
Cook Islands,441
Cape Verde,360
Iran,442
Andorra,606
Tokelau,436
South Georgia and the South Sandwich Islands,361
South Africa,267
Mali,403
Uruguay,289
Guam,406
Antarctica (the territory South of 60 deg S),343
Suriname,415
El Salvador,500
Jamaica,368
Puerto Rico,323
Thailand,406
Indonesia,378
Eritrea,462
Macao,490
Libyan Arab Jamahiriya,458
Slovenia,445
Bolivia,404
Niue,376
Senegal,403
Haiti,376
New Zealand,447
Bhutan,366
Botswana,319
Northern Mariana Islands,392
Cyprus,372
Switzerland,386
United States Minor Outlying Islands,302
Reunion,389
Mauritania,328
Ireland,359
British Virgin Islands,433
Antigua and Barbuda,487
Cayman Islands,382
Afghanistan,373
Guyana,413
Kuwait,419
Estonia,398
United States Virgin Islands,426
Mozambique,293
Kazakhstan,487
Peru,485
Equatorial Guinea,350
Dominican Republic,420
Canada,419
Luxembourg,356
Monaco,398
Bahrain,422
Malaysia,464
Djibouti,436
Benin,333
Mexico,382
India,188
Mayotte,346
Burkina Faso,294
Croatia,351
Lebanon,479
Nigeria,355
Svalbard & Jan Mayen Islands,449
Isle of Man,371
Nepal,318
Solomon Islands,413
Tunisia,555
Bangladesh,337
Venezuela,437
French Southern Territories,454
Grenada,388
Bermuda,410
Hong Kong,497
Dominica,369
Egypt,462
Liechtenstein,524
Saint Barthelemy,455
Gambia,432
Ghana,393
North Macedonia,315
Czech Republic,311
Australia,406
Tanzania,551
Greenland,361
Syrian Arab Republic,413
Sudan,397
Georgia,372
Aruba,366
Italy,524
Zimbabwe,419
Turks and Caicos Islands,259
Oman,404
Zambia,414
Kyrgyz Republic,392
Pitcairn Islands,394
Honduras,380
Hungary,233
Nicaragua,398
Heard Island and McDonald Islands,403
Swaziland,322
Madagascar,421
Gibraltar,368
Kiribati,413
Kenya,348
Poland,481
China,478
Vietnam,366
Brazil,345
Turkey,290
Barbados,385
Malta,472
Trinidad and Tobago,229
Papua New Guinea,334
Cuba,333
San Marino,452
Panama,381
Sri Lanka,520
Saint Vincent and the Grenadines,394
Belgium,329
Belarus,379
Sweden,514
Timor-Leste,528
Niger,349
Tuvalu,549
Norway,408
Montserrat,359
Mauritius,421
Pakistan,431
Nauru,383
Tajikistan,314
Portugal,314
Turkmenistan,404
Liberia,476
Seychelles,463
Maldives,538
Angola,371
Brunei Darussalam,610
American Samoa,376
Lao People's Democratic Republic,433
Vanuatu,398
Ethiopia,517
Samoa,403
